timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681660650259,4948,https://eticket.railway.gov.bd/en,200,OK,Thread Group 1-1,text,true,,1941339,44489,1,1,https://eticket.railway.gov.bd/en,1042,0,697
1681660650259,1220,https://eticket.railway.gov.bd/en-0,200,OK,Thread Group 1-1,text,true,,284349,509,1,1,https://eticket.railway.gov.bd/en,1042,0,697
1681660651644,463,https://eticket.railway.gov.bd/en-1,200,OK,Thread Group 1-1,bin,true,,2074,1387,1,1,https://d19qjkjk65tfln.cloudfront.net:443/img/favicon.ico,82,0,0
1681660651644,82,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,364,854,0,0,https://eticket.railway.gov.bd/img/favicon.ico,82,0,0
1681660651726,381,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-2,bin,true,,1710,533,0,0,https://d19qjkjk65tfln.cloudfront.net:443/img/favicon.ico,381,0,87
1681660651646,175,https://eticket.railway.gov.bd/en-2,200,OK,Thread Group 1-1,text,true,,94115,542,1,1,https://cdnjs.cloudflare.com/ajax/libs/jquery/1.10.2/jquery.min.js,137,0,109
1681660651649,657,https://eticket.railway.gov.bd/en-3,200,OK,Thread Group 1-1,text,true,,5505,1399,1,1,https://d19qjkjk65tfln.cloudfront.net:443/js/bootstrap-modal.js,321,0,239
1681660651649,321,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,370,860,0,0,https://eticket.railway.gov.bd/js/bootstrap-modal.js,321,0,239
1681660651970,336,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-4,text,true,,5135,539,0,0,https://d19qjkjk65tfln.cloudfront.net:443/js/bootstrap-modal.js,336,0,50
1681660651652,264,https://eticket.railway.gov.bd/en-4,200,OK,Thread Group 1-1,text,true,,102549,545,1,1,https://maxcdn.bootstrapcdn.com/bootstrap/3.1.0/css/bootstrap.min.css,195,0,134
1681660651651,727,https://eticket.railway.gov.bd/en-5,200,OK,Thread Group 1-1,text,true,,33609,1399,1,1,https://d19qjkjk65tfln.cloudfront.net:443/css/jquery-ui.css?v=2,315,0,239
1681660651651,315,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,370,860,0,0,https://eticket.railway.gov.bd/css/jquery-ui.css?v=2,315,0,239
1681660651966,412,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-6,text,true,,33239,539,0,0,https://d19qjkjk65tfln.cloudfront.net:443/css/jquery-ui.css?v=2,353,0,51
1681660651651,122,https://eticket.railway.gov.bd/en-6,200,OK,Thread Group 1-1,text,true,,16711,574,1,1,https://cdnjs.cloudflare.com/ajax/libs/bootstrap-datepicker/1.9.0/css/bootstrap-datepicker.min.css,119,0,105
1681660651826,554,https://eticket.railway.gov.bd/en-7,200,OK,Thread Group 1-1,text,true,,91596,1417,1,1,https://d19qjkjk65tfln.cloudfront.net:443/css/shohoz_style.css?v=10.0.19,77,0,0
1681660651826,77,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,379,869,0,0,https://eticket.railway.gov.bd/css/shohoz_style.css?v=10.0.19,77,0,0
1681660651903,477,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-8,text,true,,91217,548,0,0,https://d19qjkjk65tfln.cloudfront.net:443/css/shohoz_style.css?v=10.0.19,350,0,41
1681660652108,389,https://eticket.railway.gov.bd/en-8,200,OK,Thread Group 1-1,text,true,,3549,1397,1,1,https://d19qjkjk65tfln.cloudfront.net:443/css/meanmenu.min.css,76,0,0
1681660652108,76,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,369,859,0,0,https://eticket.railway.gov.bd/css/meanmenu.min.css,76,0,0
1681660652185,312,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-2,text,true,,3180,538,0,0,https://d19qjkjk65tfln.cloudfront.net:443/css/meanmenu.min.css,312,0,0
1681660652313,384,https://eticket.railway.gov.bd/en-9,200,OK,Thread Group 1-1,text,true,,7042,1397,1,1,https://d19qjkjk65tfln.cloudfront.net:443/css/template.css?v=1,81,0,0
1681660652313,81,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,369,859,0,0,https://eticket.railway.gov.bd/css/template.css?v=1,81,0,0
1681660652394,303,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-4,text,true,,6673,538,0,0,https://d19qjkjk65tfln.cloudfront.net:443/css/template.css?v=1,302,0,0
1681660652340,451,https://eticket.railway.gov.bd/en-10,200,OK,Thread Group 1-1,text,true,,29707,1443,1,1,https://d19qjkjk65tfln.cloudfront.net:443/font-awesome-4.3.0/css/font-awesome.css?v=2,78,0,0
1681660652340,78,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,392,882,0,0,https://eticket.railway.gov.bd/font-awesome-4.3.0/css/font-awesome.css?v=2,78,0,0
1681660652418,373,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-7,text,true,,29315,561,0,0,https://d19qjkjk65tfln.cloudfront.net:443/font-awesome-4.3.0/css/font-awesome.css?v=2,319,0,0
