timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672852516582,1100,Home/-17,200,OK,Thread Group 1-1,text,true,,53576,1054,1,1,https://www.rokomari.com/book,214,0,134
1672852516582,214,Home/-17-0,301,Moved Permanently,Thread Group 1-1,,true,,688,350,1,1,http://www.rokomari.com/,214,0,134
1672852516799,613,Home/-17-1,301,Moved Permanently,Thread Group 1-1,,true,,903,350,1,1,https://www.rokomari.com/,613,0,538
1672852517413,269,Home/-17-2,200,OK,Thread Group 1-1,text,true,,51985,354,1,1,https://www.rokomari.com/book,214,0,0
1672852517684,170,Home/canonical.html-18,200,OK,Thread Group 1-1,text,true,,298,303,1,1,http://detectportal.firefox.com/canonical.html,169,0,123
1672852517854,42,Home/success.txt-19,200,OK,Thread Group 1-1,text,true,,216,305,1,1,http://detectportal.firefox.com/success.txt?ipv4,42,0,0
1672852517897,44,Home/success.txt-20,200,OK,Thread Group 1-1,text,true,,216,305,1,1,http://detectportal.firefox.com/success.txt?ipv6,44,0,0
1672852517942,242,Home/dns-query-21,200,OK,Thread Group 1-1,text,true,,690,473,1,1,https://mozilla.cloudflare-dns.com/dns-query,242,0,187
1672852518184,391,Home/-22,200,OK,Thread Group 1-1,text,true,,49734,900,1,1,https://www.rokomari.com/book,77,0,0
1672852518184,77,Home/-22-0,301,Moved Permanently,Thread Group 1-1,,true,,903,448,1,1,https://www.rokomari.com/,77,0,0
1672852518261,314,Home/-22-1,200,OK,Thread Group 1-1,text,true,,48831,452,1,1,https://www.rokomari.com/book,312,0,0
1672852518576,298,Home/book-23,200,OK,Thread Group 1-1,text,true,,48949,452,1,1,https://www.rokomari.com/book,296,0,0
1672852518874,69,Home/static/200/images/fonts/SiyamRupali.css-24,200,OK,Thread Group 1-1,text,true,,1026,413,1,1,https://www.rokomari.com/static/200/images/fonts/SiyamRupali.css,69,0,0
1672852518944,69,Home/static/200/images/fonts/poppins.css-25,200,OK,Thread Group 1-1,text,true,,1120,409,1,1,https://www.rokomari.com/static/200/images/fonts/poppins.css,69,0,0
1672852519013,75,Home/static/200/images/fonts/kalpurush.css-26,200,OK,Thread Group 1-1,text,true,,962,411,1,1,https://www.rokomari.com/static/200/images/fonts/kalpurush.css,75,0,0
1672852519088,76,Home/static/200/images/fonts/roboto.css-28,200,OK,Thread Group 1-1,text,true,,1103,408,1,1,https://www.rokomari.com/static/200/images/fonts/roboto.css,76,0,0
1672852519165,76,Home/static/200/images/critical-css/desktop.css-27,200,OK,Thread Group 1-1,text,true,,12726,416,1,1,https://www.rokomari.com/static/200/images/critical-css/desktop.css,76,0,0
1672852519242,76,Home/static/200/vendors/google-fonts/fonts.css-29,200,OK,Thread Group 1-1,text,true,,1313,415,1,1,https://www.rokomari.com/static/200/vendors/google-fonts/fonts.css,76,0,0
1672852519318,79,Home/static/200/vendors/ionic/css/ionicons.min.css-30,200,OK,Thread Group 1-1,text,true,,8871,419,1,1,https://www.rokomari.com/static/200/vendors/ionic/css/ionicons.min.css,79,0,0
1672852519397,76,Home/static/200/vendors/jquery-ui/jquery-ui.min.css-31,200,OK,Thread Group 1-1,text,true,,8482,420,1,1,https://www.rokomari.com/static/200/vendors/jquery-ui/jquery-ui.min.css,76,0,0
1672852519473,75,Home/static/200/vendors/slick/slick.css-32,200,OK,Thread Group 1-1,text,true,,1402,408,1,1,https://www.rokomari.com/static/200/vendors/slick/slick.css,75,0,0
1672852519549,65,Home/static/200/dist/desktop/js/activity-tracker.js-34,200,OK,Thread Group 1-1,text,true,,2129,406,1,1,https://www.rokomari.com/static/200/dist/desktop/js/activity-tracker.js,65,0,0
1672852519614,67,Home/static/200/assets/common/js/ga4-event-emitter.js-35,200,OK,Thread Group 1-1,text,true,,1000,408,1,1,https://www.rokomari.com/static/200/assets/common/js/ga4-event-emitter.js,67,0,0
1672852519682,53,Home/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js-37,200,OK,Thread Group 1-1,text,true,,1514,422,1,1,https://www.rokomari.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,52,0,0
1672852519735,159,Home/static/200/dist/desktop/css/bundle6-desktop.css-33,200,OK,Thread Group 1-1,text,true,,134519,425,1,1,https://www.rokomari.com/static/200/dist/desktop/css/bundle6-desktop.css?v=6,119,0,0
1672852519894,75,Home/static/200/vendors/jquery/jquery-3.3.1.min.js-36,200,OK,Thread Group 1-1,text,true,,32165,405,1,1,https://www.rokomari.com/static/200/vendors/jquery/jquery-3.3.1.min.js,75,0,0
1672852519969,84,Home/static/200/vendors/jquery-ui/jquery-ui.min.js-38,200,OK,Thread Group 1-1,text,true,,70158,405,1,1,https://www.rokomari.com/static/200/vendors/jquery-ui/jquery-ui.min.js,84,0,0
1672852520054,91,Home/static/200/vendors/jquery-ui/1.12.1/jquery-ui.min.js-39,200,OK,Thread Group 1-1,text,true,,70110,412,1,1,https://www.rokomari.com/static/200/vendors/jquery-ui/1.12.1/jquery-ui.min.js,90,0,0
1672852520145,79,Home/static/200/vendors/popper/popper.min.js-40,200,OK,Thread Group 1-1,text,true,,8262,399,1,1,https://www.rokomari.com/static/200/vendors/popper/popper.min.js,79,0,0
1672852520224,81,Home/static/200/vendors/bootstrap/bootstrap-datepicker.min.js-42,200,OK,Thread Group 1-1,text,true,,11403,416,1,1,https://www.rokomari.com/static/200/vendors/bootstrap/bootstrap-datepicker.min.js,81,0,0
1672852520305,75,Home/static/200/vendors/slick/slick.min.js-43,200,OK,Thread Group 1-1,text,true,,11783,397,1,1,https://www.rokomari.com/static/200/vendors/slick/slick.min.js,75,0,0
1672852520380,84,Home/static/200/vendors/bootstrap/bootstrap.min.js-41,200,OK,Thread Group 1-1,text,true,,15247,405,1,1,https://www.rokomari.com/static/200/vendors/bootstrap/bootstrap.min.js,84,0,0
1672852520465,85,Home/static/200/vendors/elevatezoom/jquery.elevatezoom.js-44,200,OK,Thread Group 1-1,text,true,,12771,412,1,1,https://www.rokomari.com/static/200/vendors/elevatezoom/jquery.elevatezoom.js,85,0,0
1672852520550,92,Home/static/200/dist/desktop/js/vendor-desktop.js-47,200,OK,Thread Group 1-1,text,true,,36924,404,1,1,https://www.rokomari.com/static/200/dist/desktop/js/vendor-desktop.js,92,0,0
1672852520642,96,Home/static/200/vendors/chart/chart.min.js-45,200,OK,Thread Group 1-1,text,true,,66074,397,1,1,https://www.rokomari.com/static/200/vendors/chart/chart.min.js,96,0,0
1672852520738,100,Home/static/200/dist/desktop/js/common-desktop.js-46,200,OK,Thread Group 1-1,text,true,,77698,404,1,1,https://www.rokomari.com/static/200/dist/desktop/js/common-desktop.js,98,0,0
1672852520839,403,Home/submit/activity-stream/sessions/1/10609770-03ea-4f7a-9c8b-3682bcfc0c3b-48,200,OK,Thread Group 1-1,text,true,,620,1465,1,1,https://incoming.telemetry.mozilla.org/submit/activity-stream/sessions/1/10609770-03ea-4f7a-9c8b-3682bcfc0c3b,403,0,144
1672852521243,270,Home/submit/firefox-desktop/newtab/1/169556e7-c27b-4d12-bd28-09486b8c9a4a-49,200,OK,Thread Group 1-1,text,true,,620,2031,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/169556e7-c27b-4d12-bd28-09486b8c9a4a,270,0,0
